date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-08-15,1334.09,1363.49,1333.06,1354.85,2303897.0,3275699572.0,1256197800.0,0.0018340240685025878
2024-08-16,1354.75,1363.42,1345.46,1358.94,1645470.0,2349825846.0,1256197800.0,0.0013098812941719847
2024-08-19,1359.7,1385.22,1353.05,1353.47,2043279.0,2942106435.0,1256197800.0,0.0016265583334089584
2024-08-20,1357.7,1357.73,1342.61,1350.89,1859138.0,2644814344.0,1256197800.0,0.0014799723419353227
2024-08-21,1348.3,1355.88,1344.21,1346.01,1509165.0,2144746551.0,1256197800.0,0.0012013752929673973
2024-08-22,1344.51,1348.3,1329.32,1338.86,1952729.0,2750868073.0,1256197800.0,0.0015544757362256168
2024-08-23,1336.91,1351.63,1335.12,1343.55,1532046.0,2166499202.0,1256197800.0,0.0012195897811634441
2024-08-26,1345.45,1351.97,1332.3,1340.71,1562841.0,2207595461.0,1256197800.0,0.0012441042326296066
2024-08-27,1340.71,1341.66,1330.37,1333.18,1365740.0,1920770570.0,1256197800.0,0.0010872013945574495
2024-08-28,1333.18,1335.01,1305.58,1318.87,3166351.0,4388025875.0,1256197800.0,0.002520583143832922
2024-08-29,1310.32,1346.4,1310.32,1341.94,2747161.0,3864270621.0,1256197800.0,0.002186885695867323
2024-08-30,1341.66,1384.45,1334.06,1370.32,3873923.0,5576118649.0,1256197800.0,0.003083847941781143
2024-09-02,1357.8,1365.39,1324.57,1324.57,3413459.0,4801049927.0,1256197800.0,0.002717294203189975
2024-09-03,1327.41,1343.54,1322.69,1338.81,1788760.0,2516125842.0,1256197800.0,0.0014239477254298647
2024-09-04,1331.21,1347.53,1329.07,1329.31,1421109.0,1995221417.0,1256197800.0,0.0011312780519118883
2024-09-05,1329.79,1335.96,1326.46,1333.95,1450295.0,2033680839.0,1256197800.0,0.0011545116541359967
2024-09-06,1334.06,1335.01,1327.41,1327.41,1032104.0,1445537257.0,1256197800.0,0.0008216094630957004
2024-09-09,1310.33,1323.34,1300.9,1305.58,2863755.0,3950086825.0,1256197800.0,0.002279700696817014
2024-09-10,1300.85,1322.67,1300.85,1308.42,1980284.0,2737295644.0,1256197800.0,0.0015764109760421487
2024-09-11,1306.15,1315.91,1296.08,1310.32,2099577.0,2892932794.0,1256197800.0,0.0016713745239802203
2024-09-12,1310.32,1315.07,1267.51,1267.65,4794831.0,6482445000.0,1256197800.0,0.003816939497903913
